place_ratings,place_name,category,city,price,rating
4,Pasar Seni,Pusat Perbelanjaan,Jakarta,0,4.4
3,Situs Warungboto,Taman Hiburan,Yogyakarta,0,4.4
5,Candi Sewu,Budaya,Yogyakarta,50000,4.6
3,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5
2,Monumen Selamat Datang,Budaya,Jakarta,0,4.7
5,Pulau Pelangi,Bahari,Jakarta,900000,4.8
3,Kebun Bibit Wonorejo,Cagar Alam,Surabaya,0,4.4
2,Taman Tabanas,Taman Hiburan,Semarang,0,4.4
2,Rabbit Town,Taman Hiburan,Bandung,45000,4.0
3,Museum Pendidikan Nasional,Budaya,Bandung,5000,4.6
5,Taman Film,Budaya,Bandung,0,4.3
5,Observatorium Bosscha,Cagar Alam,Bandung,25000,4.5
2,Museum Tengah Kebun,Budaya,Jakarta,0,4.6
2,Monumen Yogya Kembali,Budaya,Yogyakarta,15000,4.5
4,Museum Kesehatan Dr. Adhyatma,Budaya,Surabaya,10000,4.4
2,Jogja Exotarium,Taman Hiburan,Yogyakarta,20000,4.4
5,Taman Flora Bratang Surabaya,Taman Hiburan,Surabaya,0,4.6
2,Taman Prestasi,Taman Hiburan,Surabaya,0,4.6
4,Sanghyang Heuleut,Cagar Alam,Bandung,10000,4.4
5,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,0,4.4
5,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,4.5
4,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6
5,Pelabuhan Marina,Bahari,Jakarta,175000,4.4
3,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,4.5
5,Desa Wisata Kelor,Taman Hiburan,Yogyakarta,0,4.4
3,Taman Mini Indonesia Indah (TMII),Taman Hiburan,Jakarta,10000,4.5
3,Tugu Proklamasi,Budaya,Jakarta,0,4.6
2,Hutan Pinus Asri,Cagar Alam,Yogyakarta,2500,4.5
5,Taman Kunang-Kunang,Taman Hiburan,Surabaya,0,4.4
2,Flower Farm Setiya Aji,Cagar Alam,Semarang,7500,4.1
3,Taman Ekspresi Dan Perpustakaan,Taman Hiburan,Surabaya,0,4.5
2,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,50000,4.4
4,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,2000,4.6
2,Sea World,Taman Hiburan,Jakarta,115000,4.5
4,Jembatan Pasupati,Taman Hiburan,Bandung,0,4.6
2,Pantai Samas,Bahari,Yogyakarta,4000,4.0
4,Indonesia Kaya Park,Taman Hiburan,Semarang,0,4.6
3,Tugu Muda Semarang,Budaya,Semarang,0,4.7
3,Kampoeng Rawa,Cagar Alam,Semarang,3000,4.5
4,Museum Mpu Tantular,Budaya,Surabaya,2000,4.4
3,Surabaya Museum (Gedung Siola),Budaya,Surabaya,0,4.5
3,Candi Gedong Songo,Budaya,Semarang,10000,4.5
3,Monumen Sanapati,Budaya,Yogyakarta,15000,4.3
2,Chingu Cafe Little Seoul,Taman Hiburan,Bandung,50000,4.5
2,Pura Giri Natha,Budaya,Semarang,20000,4.7
2,Tebing Karaton,Cagar Alam,Bandung,15000,4.5
3,Goa Pindul,Cagar Alam,Yogyakarta,40000,4.5
3,Caringin Tilu,Cagar Alam,Bandung,0,4.4
2,Nol Kilometer Jl.Malioboro,Taman Hiburan,Yogyakarta,0,4.7
5,Museum Sasmita Loka Ahmad Yani,Budaya,Jakarta,2000,4.7
4,Monumen Batik Yogyakarta,Budaya,Yogyakarta,40000,4.5
5,Kebun Teh Nglinggo,Cagar Alam,Yogyakarta,6000,4.5
2,Monumen Bandung Lautan Api,Budaya,Bandung,0,4.3
5,Kampung Korea Bandung,Budaya,Bandung,15000,4.1
5,Indonesia Kaya Park,Taman Hiburan,Semarang,0,4.6
5,Jurang Tembelan Kanigoro,Taman Hiburan,Yogyakarta,2500,4.5
2,Taman Bunga Celosia,Cagar Alam,Semarang,25000,4.3
4,Candi Prambanan,Budaya,Yogyakarta,50000,4.7
4,Kampung Batik Gedong Semarang,Budaya,Semarang,0,4.4
5,Taman Buah Surabaya,Taman Hiburan,Surabaya,0,4.1
5,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,3000,4.6
2,Lava Bantal,Budaya,Yogyakarta,5000,4.4
2,Taman Harmoni Keputih,Cagar Alam,Surabaya,0,4.4
3,Gunung Lalakon,Cagar Alam,Bandung,0,4.8
2,Ciputra Waterpark,Taman Hiburan,Surabaya,95000,4.3
5,Dago Dreampark,Taman Hiburan,Bandung,40000,4.2
4,Goa Rong,Cagar Alam,Semarang,5000,4.3
5,Museum Barli,Budaya,Bandung,15000,4.4
3,Bumi Perkemahan Batu Kuda,Cagar Alam,Bandung,7500,4.5
3,Gedung Sate,Budaya,Bandung,5000,4.6
5,Pantai Goa Cemara,Bahari,Yogyakarta,4000,4.3
5,Air Terjun Sri Gethuk,Cagar Alam,Yogyakarta,15000,4.4
4,Semarang Chinatown,Budaya,Semarang,30000,4.5
5,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,150000,4.4
4,Bukit Lintang Sewu,Taman Hiburan,Yogyakarta,2000,4.5
4,Masjid Al-Imtizaj,Tempat Ibadah,Bandung,0,4.7
3,Batununggal Indah Club,Taman Hiburan,Bandung,70000,4.4
5,Panghegar Waterboom Bandung,Taman Hiburan,Bandung,75000,4.3
4,Kampung Wisata Kadipaten,Budaya,Yogyakarta,0,4.4
4,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,3000,4.6
3,Goa Rancang Kencono,Cagar Alam,Yogyakarta,5000,4.3
2,Pulau Pramuka,Bahari,Jakarta,5000,4.2
5,La Kana Chapel,Taman Hiburan,Semarang,35000,4.5
4,Jogja Bay Pirates Adventure Waterpark,Taman Hiburan,Yogyakarta,150000,4.4
4,Kiara Artha Park,Taman Hiburan,Bandung,15000,4.4
3,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,25000,4.3
4,Gunung Lalakon,Cagar Alam,Bandung,0,4.8
4,Museum Pendidikan Nasional,Budaya,Bandung,5000,4.6
5,Kampung Batik Gedong Semarang,Budaya,Semarang,0,4.4
5,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4
3,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4
5,Pantai Pok Tunggal,Bahari,Yogyakarta,10000,4.5
3,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,50000,4.4
2,Museum Pendidikan Nasional,Budaya,Bandung,5000,4.6
5,Bukit Jamur,Cagar Alam,Bandung,0,4.2
4,Sungai Palayangan,Cagar Alam,Bandung,150000,4.6
5,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.3
4,Gua Belanda,Cagar Alam,Bandung,15000,4.4
2,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,185000,4.6
3,Pantai Nglambor,Bahari,Yogyakarta,10000,4.4
2,Sungai Palayangan,Cagar Alam,Bandung,150000,4.6
5,Taman Prestasi,Taman Hiburan,Surabaya,0,4.6
5,Seribu Batu Songgo Langit,Cagar Alam,Yogyakarta,2000,4.6
3,Curug Cipanas,Cagar Alam,Bandung,20000,3.9
5,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0,4.0
2,Taman Pelangi Yogyakarta,Taman Hiburan,Yogyakarta,15000,4.3
3,Studio Alam Gamplong,Taman Hiburan,Yogyakarta,10000,4.4
2,Kampoeng Rawa,Cagar Alam,Semarang,3000,4.5
5,Pintoe Langit Dahromo,Cagar Alam,Yogyakarta,2500,4.4
4,Panama Park 825,Taman Hiburan,Bandung,50000,4.4
2,Pantai Ancol,Bahari,Jakarta,25000,4.4
3,Taman Menteng,Taman Hiburan,Jakarta,0,4.5
3,Gunung Manglayang,Cagar Alam,Bandung,7500,4.5
4,Taman Film,Budaya,Bandung,0,4.3
3,Food Junction Grand Pakuwon,Pusat Perbelanjaan,Surabaya,0,4.5
4,Pantai Ngrenehan,Bahari,Yogyakarta,3000,4.4
4,Kebun Bibit Wonorejo,Cagar Alam,Surabaya,0,4.4
4,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0,4.5
5,Curug Tilu Leuwi Opat,Cagar Alam,Bandung,10000,4.4
2,Taman Menteng,Taman Hiburan,Jakarta,0,4.5
4,Taman Bunga Cihideung,Cagar Alam,Bandung,0,4.1
4,Klenteng Sanggar Agung,Budaya,Surabaya,10000,4.5
4,Situ Cileunca,Cagar Alam,Bandung,2500,4.4
3,Wisata Kaliurang,Cagar Alam,Yogyakarta,8000,4.4
3,GunungTangkuban perahu,Cagar Alam,Bandung,30000,4.5
5,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,35000,4.5
3,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,0,4.8
3,Curug Dago,Cagar Alam,Bandung,12000,4.0
3,Taman Barunawati,Taman Hiburan,Surabaya,0,4.2
4,Selasar Sunaryo Art Space,Taman Hiburan,Bandung,25000,4.6
4,Museum Mandala Wangsit Siliwangi,Budaya,Bandung,0,4.4
4,Kyotoku Floating Market,Budaya,Bandung,175000,4.5
4,Pantai Sadranan,Bahari,Yogyakarta,10000,4.6
3,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0,4.2
5,Surabaya Museum (Gedung Siola),Budaya,Surabaya,0,4.5
4,Keraton Surabaya,Budaya,Surabaya,0,4.4
5,Jembatan Biru Ambarawa,Taman Hiburan,Semarang,0,4.2
4,Gunung Papandayan,Cagar Alam,Bandung,30000,4.6
5,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,0,5.0
5,Gunung Papandayan,Cagar Alam,Bandung,30000,4.6
2,Desa Wisata Pulesari,Taman Hiburan,Yogyakarta,0,4.4
5,Orchid Forest Cikole,Taman Hiburan,Bandung,50000,4.6
5,Hutan Wisata Tinjomoyo Semarang,Cagar Alam,Semarang,3000,4.3
3,Desa Wisata Rumah Domes/Teletubbies,Taman Hiburan,Yogyakarta,5000,4.1
4,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,110000,4.5
5,Pantai Timang,Bahari,Yogyakarta,10000,4.7
2,Pulau Pari,Bahari,Jakarta,150000,4.0
5,Desa Wisata Gamplong,Taman Hiburan,Yogyakarta,10000,4.4
4,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,0,4.9
4,Taman Balai Kota Bandung,Taman Hiburan,Bandung,0,4.6
3,Pantai Marina,Bahari,Semarang,3000,4.1
3,Museum Seni Rupa dan Kramik,Budaya,Jakarta,5000,4.4
5,Kampung Wisata Taman Sari,Taman Hiburan,Yogyakarta,5000,4.6
5,Gereja Tiberias Indonesia Bandung,Tempat Ibadah,Bandung,0,4.9
4,SnowBay Waterpark,Taman Hiburan,Jakarta,180000,4.3
5,Museum Kebangkitan Nasional,Budaya,Jakarta,2000,4.7
5,Desa Wisata Tembi,Taman Hiburan,Yogyakarta,50000,4.5
3,Sudut Pandang Bandung,Taman Hiburan,Bandung,50000,4.6
3,Amazing Art World,Budaya,Bandung,75000,4.5
3,Pasar Baru,Pusat Perbelanjaan,Bandung,0,4.3
3,Surabaya North Quay,Taman Hiburan,Surabaya,50000,4.4
4,Stone Garden Citatah,Taman Hiburan,Bandung,30000,4.4
3,Pantai Jungwok,Bahari,Yogyakarta,5000,4.6
3,Sam Poo Kong Temple,Budaya,Semarang,35000,4.5
2,Taman Hutan Tebet,Taman Hiburan,Jakarta,0,4.4
2,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8
5,Margasatwa Muara Angke,Cagar Alam,Jakarta,25000,4.2
4,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,0,4.7
2,Kawasan Punclut,Taman Hiburan,Bandung,20000,4.4
3,Atlantis Land Surabaya,Taman Hiburan,Surabaya,125000,4.4
3,Bangsal Pagelaran,Budaya,Yogyakarta,5000,4.6
5,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,10000,4.5
2,Hutan Pinus Pengger,Taman Hiburan,Yogyakarta,3000,4.5
4,Hutan Wisata Tinjomoyo Semarang,Cagar Alam,Semarang,3000,4.3
2,Wisata Kaliurang,Cagar Alam,Yogyakarta,8000,4.4
4,Monumen Yogya Kembali,Budaya,Yogyakarta,15000,4.5
3,Museum Bahari Jakarta,Budaya,Jakarta,2000,4.4
4,Umbul Sidomukti,Cagar Alam,Semarang,75000,4.6
2,Museum Satria Mandala,Budaya,Jakarta,5000,4.5
4,Pantai Glagah,Bahari,Yogyakarta,5000,4.4
2,Jembatan Biru Ambarawa,Taman Hiburan,Semarang,0,4.2
2,Goa Cerme,Cagar Alam,Yogyakarta,3000,4.4
5,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,25000,4.5
2,Wisata Kraton Jogja,Budaya,Yogyakarta,7000,4.7
3,Pulau Bidadari,Bahari,Jakarta,5000,4.6
3,Blue Lagoon Jogja,Taman Hiburan,Yogyakarta,10000,4.3
2,Taman Impian Jaya Ancol,Taman Hiburan,Jakarta,25000,4.5
2,Taman Balai Kota Bandung,Taman Hiburan,Bandung,0,4.6
3,House of Sampoerna,Budaya,Surabaya,0,4.6
3,Pantai Wediombo,Bahari,Yogyakarta,5000,4.5
3,Taman Balai Kota Bandung,Taman Hiburan,Bandung,0,4.6
5,Galeri Indonesia Kaya,Budaya,Jakarta,0,4.8
5,Monumen Palagan Ambarawa,Budaya,Semarang,7500,4.4
5,Sumur Gumuling,Taman Hiburan,Yogyakarta,7000,4.5
4,Kawasan Punclut,Taman Hiburan,Bandung,20000,4.4
4,Babakan Siliwangi City Forest Path Bandung,Cagar Alam,Bandung,0,4.6
5,Waterboom PIK (Pantai Indah Kapuk),Taman Hiburan,Jakarta,300000,4.4
5,Lereng Anteng Panoramic Coffee Place,Cagar Alam,Bandung,50000,4.4
4,Pulau Semak Daun,Bahari,Jakarta,40000,4.0
2,Museum Basoeki Abdullah,Budaya,Jakarta,1000,4.6
5,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,40000,4.3
4,Puncak Gunung Api Purba - Nglanggeran,Cagar Alam,Yogyakarta,10000,4.7
2,Bunker Kaliadem Merapi,Cagar Alam,Yogyakarta,3000,4.5
5,Taman Hutan Raya Ir. H. Juanda,Cagar Alam,Bandung,11000,4.5
5,Pantai Ngrawe (Mesra),Bahari,Yogyakarta,10000,4.5
5,Cibubur Garden Diary (Cibugary),Cagar Alam,Jakarta,50000,4.5
3,Masjid Pusdai,Tempat Ibadah,Bandung,0,4.7
5,SnowBay Waterpark,Taman Hiburan,Jakarta,180000,4.3
5,Taman Menteng,Taman Hiburan,Jakarta,0,4.5
3,Kampung Cina,Budaya,Jakarta,15000,4.5
3,Sea World,Taman Hiburan,Jakarta,115000,4.5
5,Monumen Batik Yogyakarta,Budaya,Yogyakarta,40000,4.5
2,Gumuk Pasir Parangkusumo,Taman Hiburan,Yogyakarta,0,4.5
5,Taman Badak,Taman Hiburan,Bandung,0,4.5
4,Museum Satria Mandala,Budaya,Jakarta,5000,4.5
2,Taman Buah Surabaya,Taman Hiburan,Surabaya,0,4.1
5,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3
4,Monumen Jalesveva Jayamahe,Budaya,Surabaya,0,4.6
5,Trans Studio Bandung,Taman Hiburan,Bandung,280000,4.5
2,Museum Taman Prasasti,Budaya,Jakarta,2000,4.5
5,The Lost World Castle,Taman Hiburan,Yogyakarta,30000,4.3
5,Pantai Ancol,Bahari,Jakarta,25000,4.4
2,Batununggal Indah Club,Taman Hiburan,Bandung,70000,4.4
2,Pantai Drini,Bahari,Yogyakarta,10000,4.5
3,Pantai Pulang Sawal,Bahari,Yogyakarta,10000,4.5
2,Pantai Parangtritis,Bahari,Yogyakarta,10000,4.5
2,Kebun Bibit Wonorejo,Cagar Alam,Surabaya,0,4.4
4,Watu Mabur Mangunan,Cagar Alam,Yogyakarta,2500,4.5
2,Goa Pindul,Cagar Alam,Yogyakarta,40000,4.5
5,Ledok Sambi,Cagar Alam,Yogyakarta,0,4.6
4,Jendela Alam,Taman Hiburan,Bandung,20000,4.4
3,Saung Angklung Mang Udjo,Budaya,Bandung,75000,4.7
2,Museum Benteng Vredeburg Yogyakarta,Budaya,Yogyakarta,3000,4.6
4,Museum Sonobudoyo Unit I,Budaya,Yogyakarta,5000,4.6
4,Alun-Alun Kota Bandung,Taman Hiburan,Bandung,0,4.6
5,Monumen Perjuangan Rakyat Jawa Barat,Budaya,Bandung,0,4.5
5,Semarang Chinatown,Budaya,Semarang,30000,4.5
2,Monumen Kapal Selam,Budaya,Surabaya,15000,4.4
3,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,4.5
2,Pulau Bidadari,Bahari,Jakarta,5000,4.6
5,Stone Garden Citatah,Taman Hiburan,Bandung,30000,4.4
3,Situ Cileunca,Cagar Alam,Bandung,2500,4.4
5,Upside Down World Bandung,Taman Hiburan,Bandung,100000,4.0
2,Alun Alun Selatan Yogyakarta,Taman Hiburan,Yogyakarta,0,4.6
4,Ocean Ecopark,Taman Hiburan,Jakarta,180000,4.0
3,Gunung Papandayan,Cagar Alam,Bandung,30000,4.6
2,Danau Rawa Pening,Cagar Alam,Semarang,15000,4.4
5,Pantai Nglambor,Bahari,Yogyakarta,10000,4.4
5,Taman Air Mancur Menari Kenjeran,Taman Hiburan,Surabaya,0,4.4
4,Geoforest Watu Payung Turunan,Cagar Alam,Yogyakarta,0,4.5
2,Taman Film,Budaya,Bandung,0,4.3
3,Museum Sumpah Pemuda,Budaya,Jakarta,2000,4.7
5,Situs Warungboto,Taman Hiburan,Yogyakarta,0,4.4
5,Gua Pawon,Cagar Alam,Bandung,10000,4.5
4,Wisata Eling Bening,Cagar Alam,Semarang,25000,4.3
3,Candi Ijo,Budaya,Yogyakarta,5000,4.6
3,Peta Park,Taman Hiburan,Bandung,15000,4.3
5,Taman Kasmaran,Taman Hiburan,Semarang,3000,4.5
3,Taman Air Mancur Menari Kenjeran,Taman Hiburan,Surabaya,0,4.4
5,Gereja Katedral,Tempat Ibadah,Jakarta,0,4.8
5,Waduk Jatibarang,Cagar Alam,Semarang,2500,4.3
3,Desa Wisata Lembah Kalipancur,Taman Hiburan,Semarang,0,3.9
5,Museum Pos Indonesia,Budaya,Bandung,0,4.5
4,Monumen Palagan Ambarawa,Budaya,Semarang,7500,4.4
4,Pantai Siung,Bahari,Yogyakarta,10000,4.6
3,Museum Tengah Kebun,Budaya,Jakarta,0,4.6
4,Mountain View Golf Club,Cagar Alam,Bandung,375000,4.4
3,Desa Wisata Sungai Code Jogja Kota,Taman Hiburan,Yogyakarta,0,5.0
5,Wisata Lereng Kelir,Cagar Alam,Semarang,7000,4.3
4,Heha Sky View,Taman Hiburan,Yogyakarta,15000,4.4
2,Pasar Baru,Pusat Perbelanjaan,Bandung,0,4.3
2,Glamping Lakeside Rancabali,Taman Hiburan,Bandung,30000,4.4
2,NuArt Sculpture Park,Taman Hiburan,Bandung,50000,4.7
5,Pantai Kukup,Bahari,Yogyakarta,10000,4.0
4,NuArt Sculpture Park,Taman Hiburan,Bandung,50000,4.7
5,Umbul Sidomukti,Cagar Alam,Semarang,75000,4.6
3,Lembang Park & Zoo,Cagar Alam,Bandung,50000,4.5
2,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6
4,Pelabuhan Marina,Bahari,Jakarta,175000,4.4
3,Air Terjun Kali Pancur,Cagar Alam,Semarang,5000,4.1
2,Curug Cipanas,Cagar Alam,Bandung,20000,3.9
2,Ledok Sambi,Cagar Alam,Yogyakarta,0,4.6
4,Lava Bantal,Budaya,Yogyakarta,5000,4.4
3,Klenteng Sanggar Agung,Budaya,Surabaya,10000,4.5
3,Candi Borobudur,Budaya,Yogyakarta,50000,4.7
3,Wisata Alam Wana Wisata Penggaron,Cagar Alam,Semarang,10000,4.1
2,Gereja Katedral Santo Petrus Bandung,Tempat Ibadah,Bandung,0,4.8
2,Pasar Petak Sembilan,Pusat Perbelanjaan,Jakarta,0,4.4
2,Curug Anom,Cagar Alam,Bandung,0,4.6
4,Galaxy Waterpark Jogja,Taman Hiburan,Yogyakarta,40000,4.3
2,Museum Perangko,Budaya,Jakarta,5000,4.4
3,Pantai Kesirat,Bahari,Yogyakarta,5000,4.6
2,Kampoeng Tulip,Taman Hiburan,Bandung,15000,3.8
3,Taman Bungkul,Taman Hiburan,Surabaya,0,4.6
4,Curug Cipanas,Cagar Alam,Bandung,20000,3.9
4,Wisata Kraton Jogja,Budaya,Yogyakarta,7000,4.7
5,Jembatan Merah,Budaya,Surabaya,0,4.5
2,Kampung Batik Gedong Semarang,Budaya,Semarang,0,4.4
5,Taman Bunga Celosia,Cagar Alam,Semarang,25000,4.3
4,Caringin Tilu,Cagar Alam,Bandung,0,4.4
4,Taman Menteng,Taman Hiburan,Jakarta,0,4.5
4,Museum TNI AL Loka Jala Crana,Budaya,Surabaya,2000,4.5
3,Candi Prambanan,Budaya,Yogyakarta,50000,4.7
